sk	M	a	lng	mx
410	1000	1.15855993343399	108	-4.0199941184742
412	1	1.23498113311206	155	-0.374087107835188
413	1	1.07586211277595	49	-6.92347077208254
415	1	1.03123477749522	24	-7.80193183554572
416	10	1.13860670586196	86	-5.28450546748858
420	1	1.07634756099104	43	-7.17306631173367
422	100	1.06701605728711	36	-7.38530141093206
423	1	1.17765562268554	110	-4.25198564346117
424	1000	1.05041625307587	27	-7.67117821935471
425	1000	1.07682628339359	40	-7.27204004817392
427	100	1.01645720028977	8	-7.99374904857247
428	10	1.01540948810425	7	-7.9990196427864
431	1	1.0805001215848	41	-7.29359938105382
434	1	1.06370986065346	31	-7.57619082834758
435	10	1.01446946767015	6	-8.00693614857478
436	1000	1.02486211338867	11	-7.96323771862657
439	1	1.03654650393994	17	-7.88279455342404
442	10	1.13130538966789	91	-5.74221887204347
444	1000	1.2212405711977	160	-0.581836461127402
447	100	1.15065792997709	109	-4.48141728408869
448	100	1.14443313903785	106	-4.68897346658837
454	10	1.0722401509683	58	-7.18885463741075
455	100	1.02104572123119	12	-7.96837286888562
456	100	1.14758415866029	115	-3.90967330211396
457	100	1.0702747178242	59	-7.15803050011233
459	1	1.06892794899701	60	-7.13107474129405
460	10	1.04501937673758	38	-7.67636832341529
461	1000	1.06980733481422	62	-7.04842088260763
463	10	1.0609462847154	56	-7.25477196690955
466	100	1.0780377586822	70	-6.65043204121152
468	100	1.0733150216706	67	-6.76059285827726
469	1000	1.01989010710108	18	-7.94924825562966
471	1	1.0099158526649	8	-8.00958346006395
472	10	1.13593811029006	113	-4.05133755709532
473	10	1.01190632957229	11	-7.99662923952608
474	10	1.10568703347499	88	-5.46279451770121
479	100	1.14374038052931	120	-3.76780510680263
480	100	1.05463108759286	51	-7.25954140980162
484	100	1.20717346993044	160	-0.544469340565166
485	10	1.12812592896087	103	-4.70685867325439
486	1	1.02609340911628	26	-7.84990127515695
488	10	1.16964917143597	135	-2.88023087202294
489	1000	1.10944456753611	84	-5.63472583309441
490	1	1.07520208317815	60	-6.78455259716729
491	1	1.01628548246903	16	-7.96022870085466
492	1	1.02990422022487	27	-7.80914995497798
493	1000	1.07730841880893	59	-6.77970073744044
495	1	1.0635020722457	49	-7.18162883671128
496	1	1.10639427386577	78	-5.93325482143246
498	1000	1.11298567852555	84	-5.75283534927487
503	1000	1.00525737567462	3	-8.0224188315473
506	100	1.2173625246282	156	-0.509815483087411
509	10	1.17881675439366	130	-3.18361167296089
510	1000	1.09569702606805	66	-6.5783165108689
513	1000	1.12784787554409	99	-5.60218461239839
516	100	1.04678890013138	29	-7.67803718820619
517	1000	1.03297777907268	21	-7.85405601893154
518	100	1.03764100923678	23	-7.80478128301236
522	1	1.06357361511314	40	-7.43626691458304
526	100	1.1183439899519	95	-5.90521180551531
529	100	1.01811761111516	10	-7.98407197979806
531	10	1.02650957681807	15	-7.9311710651623
533	100	1.09743488580804	84	-6.479163597385
534	100	1.04798148385631	32	-7.70444418353866
535	1000	1.0783170228262	71	-7.06837731500541
537	100	1.07327610420472	69	-7.1443984496205
538	1	1.06142192757461	56	-7.43151120171981
539	100	1.03974459628296	30	-7.78762632494271
540	1	1.04210857599598	33	-7.75202911514777
542	100	1.05636316547446	59	-7.43804135715514
543	1000	1.08167714211935	79	-6.48679505211952
545	1000	1.02063782317821	16	-7.95726384497456
547	1000	1.02413363817805	21	-7.9219151518619
548	1	1.14282726619841	119	-2.87654696367095
550	1000	1.01882180857497	18	-7.95359058519789
558	1000	1.04071893057445	55	-7.4200487692464
559	100	1.0647033388208	68	-6.48638968321313
